Respondant,Region,Store,Liked,Don’t like,Would Like,NPS Score
198,Auckland,AUCKLAND - AVONDALE,polite friendly helpful staff.,no problems,,6
199,Auckland,AUCKLAND - GLENFIELD (Archers Rd),So far so good,Efpos is not working for credit card payment,Enhance the efpos system,6
200,Auckland,AUCKLAND - NEWMARKET,Cheaper than previous tyre supplier. The guy who quoted and then took my details when I arrived was great.,The young guy who did the job and wrote up my invoice/took my payment seriously needs to change his attitude. ,Provide some Customer Service training. I have used this branch twice before but not so sure now - don't like to walk away feeling as I did.,6
201,Christchurch,CHRISTCHURCH - NORTHWOOD,Close to where I live,didnt call to advise car was ready to be collected.  I had to phone and ask,phone call when work is completed,6
202,Wellington,WELLINGTON - THORNDON QUAY,Helpful staff,,,6
203,Wellington,WELLINGTON - THORNDON QUAY,The quick service,Probably too relaxed for my liking,To be talked through the alignment assessment,6
204,Auckland,AUCKLAND - TAKANINI,Was a satisfactory experiance all round,nothing at all,,6
205,Waikato,HAMILTON - TE RAPA (Pukete Road),The speed of the job. The location.,,Nothing,6
206,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Friendly staff,Tyres not in stock - had to phone to learn availability.  Had to wait an hour longer than time advised for tyre to be fitted.  (They were busy.),Better estimate of time when fitting would be possible.,6
207,Auckland,AUCKLAND - PUKEKOHE Manukau Rd,2 tyres were fitted straight away.  The other 2 had to be ordered.,WE were told that they would ring when the othere 2 tyres arrived in store but this did not happen.  We had to go in to see if they were there - frustrating!! which they were.,,6
208,Wellington,LOWER HUTT - RUTHERFORD ST,The appointment was on time and I was looked after right away. They offered me to have my wheel alignment done as well which my car really needed at that time so that my new tyre and other tires won't worn out right away. They offered me a fair price so I am happy about that and looking forward on coming back for a check again later on.  ,,,7
209,Auckland,AUCKLAND - KINGSLAND,fast service,na,,7
210,Wellington,WELLINGTON - KENT TERRACE,A good deal with friendly service,Didn't call me when the job was completed as they promised,It would be great if you offered a service to clean my mag wheels.  Getting the set off to clean them takes ages ant it would be so easy to have it done while the wheels are all off.  I would be happy to pay a reasonable fee for such a service,7
211,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Fast and efficient service,,,7
212,Bay of Plenty,WHAKATANE,Tyres wore in stock and Fonterra discount was good (competitive) changed at time I enquired that day,,Tyres can be on the expensive side even with Fonterra discount,7
213,Waikato,HAMILTON - CITY,Quick service,Nil concerns ,,7
214,Christchurch,CHRISTCHURCH - NORTHWOOD,Helpful prompt service,nothing,no suggestions,7
215,Otago,DUNEDIN - CUMBERLAND ST,Good  efficient service and good advice.,Everything was fine,,7
216,Auckland,AUCKLAND - BROWNS BAY,Immediate service,,,7
217,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),The repair was carried out professionally,None,None,7
218,Waikato,HAMILTON - TE RAPA (Pukete Road),Prompt service,Price of tyres,,7
219,Auckland,AUCKLAND - HENDERSON,good service,,,7
220,Bay of Plenty,TAURANGA - Cameron Road,Fast service!  Great coffee!  ,Nothing!,The price of tyres to be cheaper!,7
221,Auckland,AUCKLAND - HOWICK,great service on time and friendly,pressure to change more tyres,,7
222,Waikato,HAMILTON - CITY,Grate service. Thanks,,,7
223,Waikato,HAMILTON - TE RAPA (Pukete Road),The prompt service even though I hadn't made a booking,nothing,,7
224,Hawke's Bay,NAPIER - CARLYLE ST,I received very friendly service and the job was done quickly.,,,7
225,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Efficient and quick service. ,Not being able to get an instant price on tyres on the website. Having to fill out a form and be emailed a quote is pointless. May as well ring which is a bit old school,Better website. ,7
226,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Very good service. Very happy,,,7
227,Auckland,AUCKLAND - MANUKAU CITY,Prompt service,lack of reception staff,Even when its busy someone should be on reception,7
228,Otago,DUNEDIN - CUMBERLAND ST,help full staff,,,7
229,Northland ,KERIKERI,they are totally customer service happy but a little slow and disorganized at the counter ( office looked not very customer welcoming) but the guys at the back who did the tyres were absolutely awesome caring wel looked after ,that i actually had to research the tyres suitable for my van ,,7
230,Otago,OAMARU,Friendly and service orientated. Took me to my next appointment and picked me up.,,send out a reminder for a tyre rotation,7
231,Auckland,AUCKLAND - TAKAPUNA (Barrys Point Rd),Was able to explain the tyre type I needed,,,7
232,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,The boys were quite pleasant to talk to and the job was done when I came to pick up the vehicle.,,It would have been nice if they suggested wheel balancing as well. I forgot to tell them about it.,7
233,Christchurch,DARFIELD,good quick service,,,7
234,Christchurch,RANGIORA,good friendly service,,,7
235,Auckland,AUCKLAND - GREY LYNN (Gt North Road),ability to help range of services offered,,,7
236,Christchurch,CHRISTCHURCH - NORTHWOOD,Managed to find me an awesome deal on tyres and give options.,Paid for a wheel alignment and wasnt corrected. Was told to come back and get it redone when more time was available,,7
237,Otago,DUNEDIN - CUMBERLAND ST,Friendly and helpful,,,7
238,Auckland,AUCKLAND - KINGSLAND,the fast & good service,nothing,,7
239,Bay of Plenty,ROTORUA - AMOHAU ST,stock available,minimal service,,7
240,Christchurch,CHRISTCHURCH - SYDENHAM,Great job. Quick and easy!,I got quoted a different price,,7
241,Otago,DUNEDIN - CUMBERLAND ST,Friendly approach. Gave me information I wanted,No comment. As I was in a hurry I didn't have time to compare options at other suppliers.,,7
242,Wellington,LOWER HUTT - VICTORIA ST,Good service. Prompt processing.,Bought two tyres on triple flybuys Tuesday but only received single flybuys points in my flybuys account.,,7
243,Southland,INVERCARGILL - ESK ST,Friendly helpful staff,Gave me no information or choice on product and placing Beaurepaire Stickers on my car,Thought service was efficient and friendly but telling me about what I was buying would have being helpful,7
244,Auckland,AUCKLAND - KINGSLAND,On time,Missed wheel alignment ,,7
245,Northland ,WHANGAREI - WATER ST,Quick and helpfull,,,7
246,Auckland,AUCKLAND - (Quay Street),Friendly Staff,,,7
247,Auckland,AUCKLAND - KINGSLAND,quick efficient helpful service,-,-,7
248,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Helpful people,They had only one of the 2 tyres I needed. But one of the staff went to the Takapuna outlet and got another. That did take a bit of time.,,7
249,Wellington,LOWER HUTT - VICTORIA ST,Good infomation and options and good job done,They told me it would only take half and hour to do. but the job was not completed till an hour and a half later.taking an hour longer than they said it would,,7
250,Wellington,LOWER HUTT - RUTHERFORD ST,Good friendly service. Clean and tidy environment. Competitive prices.,nil,,7
251,Nelson & Marlborough,RICHMOND,fast service. friendly staff,were unable to accept beaurepaires gift vouchers as payent,,7
252,Auckland,AUCKLAND - ALBANY (Cnr Bush Rd and Volkner Pl),Very helpful and offered two ranges of tyres. Car was ready when I came back but they were supposed to phone when ready.,NO phone call to say car was ready and they never told me when the other tyres were going to be in. Didn't offer to ring when the tyres were in so they could book me in for a refit.,I know they must have been busy maybe they need more staff .,7
253,Auckland,AUCKLAND - HOWICK,Service was prompt .Prices were competitive. Staff were friendly and helpful.,WOF price was more expensive at $55.00 than a competitive and reputable vehicle service workshop at Eastern Beach which charged $45.00,Other than above comments all was good.,7
254,Auckland,AUCKLAND - GREENLANE (Gt South Rd),The guys were very helpful I was able to get a wheel alignment without an appointment.,,,7
255,Auckland,AUCKLAND - HENDERSON,Good and quick service,None,,7
256,Auckland,AUCKLAND - BROWNS BAY,Service,Nothing,Nil,7
257,Nelson & Marlborough,RICHMOND,they worked beyond end of day.if they had not we would have been stranded ,not sure if we were ripped off as at their mercy .desparate for a new tyre while on holiday.offered lower priced tyre first but then suddenly not in stock .,open public price list of available tyre ,7
258,Taranaki & Wanganui ,WANGANUI,great service,all  goodnothing,n/a,7
259,Waikato,HAMILTON - TE RAPA (Pukete Road),The service was great.,Having to come back the next day as even though the shop hours closed at 5pm and I arrived at 4.45pm I was told that there wasn't enough time to put a new tyre on my car at that time.,To be able to do my business with Beaurepairs after 5pm as I don't finish work until 4.30 and it is usually too late for any tyre to be put on when I arrive.,7
260,Waikato,MATAMATA,The service was done promptly and efficiently by friendly people,Being told my common Toyota Corolla Hatchback had unusual sized wheels when I have owned it for six years.,Better quality tyres were not available. ,7
261,Otago,DUNEDIN - ANDERSONS BAY RD,Service is good as always. Love the Hot Chocolate.,I wish the price was better,,7
262,Auckland,AUCKLAND - HENDERSON,The store is great. I was early. They just took my car in to change the tyre. Easy.,I thought it would be different for the call centre this time. Annalise took my order and she had the right tone. No over selling/ up selling. Much better than the previous guy I dealt with. But it was a let down as she promised to confirm my booking and order via email and sms and I received neither. I had to call back and spoke to the guy who failed me the last time. He also promised to confirm via sms and email. None. So it looks like the call centre is staffed by a bunch of dimwits.,cheaper tyres,7
263,Auckland,AUCKLAND - NEWMARKET,They were willing to stay open after closing time to fix my flat tyre (I phoned and they were about to close but waited until I arrived). They didn't give price of tyre without fitting etc over phone. Friendly and polite.,They didn't give price of tyre without fitting etc over phone.,,7
264,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Very friendly service,,,7
265,Auckland,AUCKLAND - GREY LYNN (Gt North Road),Very helpful friendly staff,,,7
266,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Friendly Service. Good Price. Good location for killing time.,,,7
267,Wellington,WELLINGTON - PARAPARAUMU,Very friendly quick service,The valve on my new tyre was faulty and the tyre went flat so had to take it back for a repair.  Which was inconvenient cos I work in Wgton city every day and therefore I had to ask someone to drive it into Beaurepaires for me to have it repaired on the next Monday - plus I had to borrow a car so I could drive to work.,Earlier opening hours to suit people who work out of the area and find it difficult to get their cars into get repaired in the timeframes.  Or longer openiong hours on the weekends.,7
268,Northland ,KAWAKAWA,Quick efficient service,,,7
269,Taranaki & Wanganui ,NEW PLYMOUTH - Gill St,Prompt friendly service.  Gave me a ride to work,,,7
270,Wairarapa,MASTERTON,Fast prompt service,Staff could have been a little friendlier - not just transactional. ,,7
271,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Anthony and staff were very good.  Said what was needing to be done n in a strait forward and understandable manner.    They finished the job in time frame stated.,,,7
272,Auckland,AUCKLAND - GLENFIELD (Archers Rd),friendly service,nothing was all ok,,7
273,Otago,DUNEDIN - ANDERSONS BAY RD,Good job. Thanks guys. ,N/A,,7
274,Wellington,WELLINGTON - UPPER HUTT,The price I was quoted I paid. The service was quick and efficient.,,,7
275,Bay of Plenty,WHAKATANE,Good service. Gave good advice on which selection of tyre to have on my car. Nice area to chill out ,Not a wide variety of tyres to select from,,7
276,Auckland,AUCKLAND - (Quay Street),Happy staff quick efficient service ,,,7
277,Otago,OAMARU,Friendly and happy with service.,Wheel aligment had to be redone.,,7
278,Nelson & Marlborough,NELSON,The prompt service and enthusiasm,The costs,,7
279,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,that he offered me a wheel alinement and as well my two new tyres with the time that it would be done by and it was ,the price ,i think that if there was some way that if you could offer cheaper wheel alinement with new tyres i think it would be great,7
280,Auckland,AUCKLAND - MANUKAU CITY,Staff was able to understand my requirements budget wise. ,Was not contacted when tyres arrived. Instead I had to call them. Also was told it would take an hour to have tyres ereplace and in fact it took an hour and a half. ,To be contacted once my goods arrive into store. Don't over promise. ,7
281,Christchurch,RANGIORA,Quick friendly service when I arrived to get new tyres.,Delay in getting tyres for a few days due to their computer crashing.,no more comments to make.,7
282,Otago,DUNEDIN - ANDERSONS BAY RD,Great service considering visit between Xmas and New Year,The fact they only did alignment first and forgot to put new tyre on as well when that was the most critical issue,,7
283,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Although they were busy they tried to get to you as quick as they could,,,7
284,Otago,ALEXANDRA,Obliging friendly service,n/a,,7
285,Otago,OAMARU,efficient and friendly service,nothing,,7
286,Auckland,AUCKLAND - KINGSLAND,the speed it only took 20 min and I didn 't have to wait.,The price of the tire and that I couldn't get it at my local whcih would have been more convient,To have a larger range of tire at my local and cheaper price.,7
287,Wellington,WELLINGTON - NEWTOWN,I was expecting to have to buy at least one new tyre as I always seem to when I get the tyres done but was pleasantly surprised all I needed was a wheel alignment. They were very thorough with the alignment and I was asked to bring it back if I wasn't happy,The orginal day I took the car in they couldn't do the alignment as there was only 1 person working and the other had called in sick so I had to take it back the following day,,7
288,Christchurch,CHRISTCHURCH - HORNBY,Prompt service,Nothing,,7
289,Auckland,AUCKLAND - TAKANINI,Good solutions to all problems,,Ask customer first if the mechanics of the car fittings are unfamiliar to the staff.,7
290,Waikato,TE AWAMUTU,friendly service.  gave me a time and it was finished by that time,nothing,coffee  without milk option,7
291,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Special Deal. Same day service. Ready on time.,Being given a different price in the shop than when I phoned the day before and was told it was in stock and then he had to check when I was in store.,Conistency in prices and stock,7
292,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Good price,nothing,,7
293,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Fast efficient ,Slightly more communication but it was fine too.,,7
294,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The man was very well-mannered and spent some time on the wheel - it had a splinter of plastic in it.,No discount for Senior citizens.  We always got a discount from Frank Allen,,7
295,Northland ,KAITAIA,Staff were keen to get my business and arranged for the tyres I needed to be couriered up from Kawakawa,,,7
296,Waikato,HAMILTON - CITY,This store had the tyres available that I was after,,,7
297,Northland ,KERIKERI,Good service friendly staff,it was ok,,7
298,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Job was completed within estimated time. Price was as quoted.,Quote obtained prior to job was not given in writing. Verbal prices given were confusing as they did not add up to quote - although quote was cheaper!,A printed pricing list so I know I'm being quoted the same price as everyone else. Just being told prices verbally made me wonder if prices fluctuate based on make of car one drives or how one dresses.,7
299,Bay of Plenty,TAURANGA - CBD,Good prompt friendly service.Work completed at specified time.Flexibility with booking work,,,7
300,Nelson & Marlborough,RICHMOND,prompt service,nothing,,7
301,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,All aspect of service were good,,,7
302,Auckland,AUCKLAND - TAKANINI,Promt Service,Nothing,Nothing comes to mind,7
303,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Fast service,Price was higher than anticipated,,7
304,Auckland,AUCKLAND - SILVERDALE,had preferred payment type - Visa,,perhaps a coffee machine,7
305,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Prompt service,,,7
306,Auckland,AUCKLAND - CLENDON,The service was ok,I am still having some problems with my wheel alignments,Possibly a full diagnostic of my wheel system,7
307,Otago,ALEXANDRA,The staff member was very obliging and helpful.  They had the tyre we needed at a fair price and were able to fit it immediately.,Access for heavy vehicles is a bit tricky.,A bit more enthusiasm from other branches when looking for 2nd hand commercial tyres.  It was just luck that we happened to be in Alexandra with that vehicle.,7
308,Auckland,AUCKLAND - MT ROSKILL (Cnr Richardson and McGowan Sts),The customer call center stuffs are very nice. ,,,7
309,Auckland,AUCKLAND - MANUKAU CITY,they pointed out a major bubble in my tyre when i only went in for a wheel balance and they assisted in mwordering a lock nut for my mags.,,,7
310,Hawke's Bay,WAIPUKURAU,Staff came an spoke to me as sson as they noticed i was there.,,,7
311,Otago,DUNEDIN - ANDERSONS BAY RD,The staff are always so friendly and very willing to help,The quote I was given was not a 100% clear.  I thought the price I was being given was for both tyres (as I asked for a quote for 2 tyres) resulting in me having a $450 bill instead of $225!!,,7
312,Otago,QUEENSTOWN,top service by workers instore!!,,,7
313,Christchurch,CHRISTCHURCH - SYDENHAM,Friendly staff and they explained the problem clearly and were helpful with advice.,It took a lot longer than they said it would. (2hrs instead of 15mins),Update customers on significant wait-times/delays if the customer is in the waiting area obviously waiting.,7
314,Otago,DUNEDIN - ANDERSONS BAY RD,The coffee was really good,They went ahead and fixed my problem without first discussing how they were going to fix it and price.,,7
315,Auckland,AUCKLAND - KINGSLAND,Location,Not the friendliest and didn't have tires even after knowing what size was needed and making appointment,,7
316,Auckland,AUCKLAND - HOWICK,Service,Price,,7
317,Christchurch,DARFIELD,Staff discount,,,7
318,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Had no issues in repairing a flat tyre.,na,no,7
319,Bay of Plenty,TAURANGA - CBD,Very efficient service and very informative on how to mainatain and get the best out my new tyres,,,7
320,Auckland,AUCKLAND - (Quay Street),Alawys friendly and helpful. Thanks.,Nothing,Nothing,7
321,Auckland,AUCKLAND - GLENFIELD (Archers Rd), fast and easy,,,7
322,Auckland,AUCKLAND - GLENFIELD (Archers Rd),I liked that everything was done quickly and everyone was really clear about what was going on. ,Nothing,N/A,7
323,Auckland,AUCKLAND - GLENFIELD (Archers Rd),thanks good service again,,,7
324,Nelson & Marlborough,NELSON,Sorted my tyre needs very quickly,The tyres weren't switched around to put the new ones on the front but I understand that this isn't always done now. I had requested this as my car drives very badly with the new tyres on the back,Very good service,7
325,Auckland,AUCKLAND - KINGSLAND,See previous message except I forgot to enter my flybuys no.,,,7
326,Bay of Plenty,TAURANGA - CBD,friendly helpful service,need to pay for wheel alignment,all good,7
327,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),how quick the service was,not much,More competitive pricing,7
328,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Friendly service,,,7
329,Otago,ALEXANDRA,Friendly service,Nothing that I didn't like,More promotion on sale or discount ,7
330,Auckland,AUCKLAND - EAST TAMAKI,the service was friendly and efficient and I got a good deal in the end and the tyres were transferred from another store the same day,at first it seemed that I was given only one option and I had to query a bit to get a better deal,to be given all options straight out,7
331,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Prompt efficient service,Nothing,,7
332,Auckland,AUCKLAND - KINGSLAND,good service,it was all good,,7
333,Christchurch,CHRISTCHURCH - NORTHWOOD,Prompt & friendly service,,,7
334,Otago,ALEXANDRA,Prompt service,Paying,,7
335,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,good service,,,7
336,Gisborne,GISBORNE - CHILDERS RD,helpful and able to do the wheel balancing the next day.,couldn't do it straight away,,7
337,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Speedy service. Flybuys. Cheap,NA,,7
338,Wellington,WELLINGTON - UPPER HUTT,Staff offered a good deal,They only had one type of tire in stock that would go on my car. This left me with only one option and they were expensive. However as per the comment above he did offer me a good deal on them.,,7
339,Wellington,LOWER HUTT - RUTHERFORD ST,Good prompt service with polite contact from staff,No all good,,7
340,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Did a good job.,Job took too long.,a better discount.,7
341,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Friendly bunch of guys. Reasonably efficient. Open to discussion about correct tyre pressures.,,,7
342,Auckland,AUCKLAND - GLENFIELD (Archers Rd),Great,Great,Great,7
343,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Very Helpful,Let down by courier and tyre was one ad half hours late arriving,,7
344,Otago,OAMARU,Service and their flexiblity,Nil,,7
345,Nelson & Marlborough,NELSON,flybuys,tyres hadnt arrived when I arrived,courtesy car,7
346,Northland ,KAITAIA,Fast service,price of tyre,,7
347,Auckland,AUCKLAND - KINGSLAND,They made sure that the wheel alignment was done as was advised that it had ceased up a bit,They left the rims of my tyres black and didn't clean them,,7
348,Auckland,AUCKLAND - TAKAPUNA (Barrys Point Rd),Fast,Nothing,,7
349,Auckland,AUCKLAND - GREY LYNN (Gt North Road),very knowlegable,,,7
350,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The friendly service and efficiency,,,7
351,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Friendly staff,The delay but the manager was very busy,Additional staff would be needed but this would impact on prfiability!,7
352,Bay of Plenty,ROTORUA - TE NGAE RD,Efficient service,,,7
353,Auckland,AUCKLAND - TAKANINI,Quick service and on the road in under 45 minutes,Being told that I needed three new tyres instead of one and wheel alignnment done but that was the reality.,,7
354,Wairarapa,MASTERTON,prompt attention,gruff customer service manner,a little more customer friendly,7
355,Bay of Plenty,MOUNT MAUNGANUI - HULL ROAD,Everything went as smoothly and efficiently as per norm,,,7
356,Auckland,AUCKLAND - NEWMARKET,Very good service. Quick to keep me informed of what was happening,,,7
357,Christchurch,CHRISTCHURCH - SYDENHAM,Having to replace all four tyres is a bit hard on the pocket but they made it as painless as possible and suggested a wheel alignment check was imperative to avoid a repeat of the problem,,,7
358,Bay of Plenty,WHAKATANE,Very friendly and efficient.,No complaints,,7
359,Auckland,AUCKLAND - HENDERSON,quick and efficient,,,7
360,Wellington,WELLINGTON - THORNDON QUAY, They were very helpful and talked about the alternative tyres I could buy for my car. They gave me a lot of information.,,,7
361,Waikato,TE AWAMUTU,the coffee  and the staff,being quoted $210 and being charged  $235.  having to wait over half an hour to replace a tyre ,serve the customer dont stand around chatting.,7
362,Christchurch,CHRISTCHURCH - NORTHWOOD,Helpful Staff,Paying,a coffee machine,7
363,Wellington,WELLINGTON - PARAPARAUMU,Great service - found i needed a new battery and sorted out at the same time as the wheel alignment.,,,7
364,Auckland,AUCKLAND - GLENFIELD (Archers Rd),they gave me a good deal on what i needed,that there was an issue with the tyres and i had to have it redone - was a faulty tyre and they were really good about fixing it,,7
365,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Good friendly service. Staff obliging and nwilling to help.,,,7
366,Auckland,AUCKLAND - HOWICK,Friendly crew and gets the job done soon as possible,Cost a little bit higher than other tyre/ repair shops,,7
367,Auckland,AUCKLAND - KINGSLAND,Quick to quote and offer discount and fix the tyres,All good,Keep more product choices if possible,7
368,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,timing on eta to pick up was accurate. all staff friendly,,,7
369,Waikato,HAMILTON - TE RAPA,Professional service. Polite front desk man.,,An email with specials specific to my car.,7
370,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,Great Service -really helpful and quick,,,7
371,Mid & South Canterbury,ASHBURTON,I had service straight away.,only one tyre was sprayed with tyre shine,,7
372,Nelson & Marlborough,NELSON,Great job.,,,7
373,Auckland,AUCKLAND - TAKANINI,His professional know how and advice.  To not have to book an appointment - just walk straight on in.,,,7
374,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE, Convenient  location and  of course receiving flybuys ,Waiting to be acknowledged when entering office to pay I had to ask if they wanted to be paid. ,To feel they value peoples custom with a friendly greeting especially when you spend alot of money  with them.  I had shopped around on prices & all competitors prices were very similar the only plus was flybuys.,7
375,Mid & South Canterbury,TIMARU - BARNARD ST,quick helpful friendly service,,,7
376,Auckland,AUCKLAND - EAST TAMAKI,service was OK.,,,7
377,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Fast and friendly service,,,7
378,Mid & South Canterbury,ASHBURTON,It was very quick - the car had the new tyre fitted before I'd finished browsing nearby shops.  And then it was right by VTNZ so easy to get the WOF signed off,,,7
379,Northland ,WHANGAREI - 73 REYBURN ST,Didn't have to wait for service. Centre was clean and tidy.,Price seemed higher than the last time I purchased a similar tyre.,,7
380,Bay of Plenty,ROTORUA - AMOHAU ST,Rapid friendly service,There were no problems,,7
381,Otago,DUNEDIN - ANDERSONS BAY RD,The staff were helpful,No problems,,7
382,Auckland,AUCKLAND - GLENFIELD (Archers Rd),The friendliness of the staff and the immediate welcome and clean workshop,The no phone call telling me my vehicle was ready as was stated. I didi not remain on site.,,7
383,Wellington,WELLINGTON - THORNDON QUAY,Really friendly guy who served me when  I picked up the car.  ,Not much,,7
384,Tararua,DANNEVIRKE,helpfull friendly service with great knowledge...,,,7
385,Waikato,HAMILTON - TE RAPA (Pukete Road),The speed that the tyres were changed,I wasn't informed that the road warranty on the tyres was optional,,7
386,Wellington,LOWER HUTT - VICTORIA ST,Very quick on the spot job. Excellent job done.,,,7
387,Auckland,AUCKLAND - NEWMARKET,Quick and convenient,Manager did not call and tell me i needed a new tyre instead of a puncture repair. Went in and found out so had to make 3 trips there.,,7
388,King Country,TAUMARUNUI,I turned up without an appointment and they fitted me in straight away,nothing,,7
389,Gisborne,GISBORNE- DISRAELI ST,The service,,,7
390,Northland ,KERIKERI,Very friendly staff and excellent service an advice too.,,,7
391,Christchurch,RANGIORA,When I phoned I got friendly and helpful advice. I was offered a ride back to my workplace for when I dropped the vehicle off. The vehicle was ready on time. It was even parked in a manner that meant no backing or negoitiation of other vehicles was required.,I don't know how much the service cost. The charge was made to our CRT account but I didn't receive the docket. ( Was in a rush so may be an oversight on my part),,7
392,Auckland,AUCKLAND - MANUKAU CITY,Quick service and hot chocolate.,,,7
393,Waikato,HAMILTON - TE RAPA (Pukete Road),Promt efficent service,,,7
394,Nelson & Marlborough,NELSON,left car for morning and alignment done when I returned,,,7
395,Bay of Plenty,MOUNT MAUNGANUI - NEWTON ST,Efficient,,,7
396,Manawatu,PALMERSTON NTH - 559 TREMAINE AVE,service was good,the gentleman didnt really seem to know how to put through a supermarket docket for flybuys but gave me flybuys anyway so that was good and nearly as much as coupon anyway,,7
397,Auckland,AUCKLAND - GREENLANE (Gt South Rd),Good Service.. friendly staff,Coffee.. ,get a good coffee machine,7
398,Auckland,AUCKLAND - GLEN INNES (Apirana Ave),Service was good. Staff helpful and ordered in a tyre for me for same day service,Nil,Nicer waiting room - check out VTNZ across the rd!,7
399,Auckland,WARKWORTH,Good price and service,,,7
400,Nelson & Marlborough,NELSON,Prompt and friendly service.  All very positive.,nothing.,Just keep up the quality service!  Not sure how Beaurepaires compares to other tyre companies cost-wise.  Any improvement would be in keeping costs down to customer.  If I was to make a recommendation it would be on cost and service.,7
401,Otago,QUEENSTOWN,The service was quik and proffesional,,,7
402,Otago,DUNEDIN - CUMBERLAND ST,Quick. Great Service.,Price.,Recommend any cheaper options if available.,7
403,Auckland,WARKWORTH,Fast service,Very pricey for just a puncture repair,,7
404,Christchurch,CHRISTCHURCH - TUAM ST,Friendly service,Cost :-(,Maybe some pricing options or a least a warning that this size and brand of tyre was going to be very expensive!!,7
405,Wellington,WELLINGTON - THORNDON QUAY,Made a good effort to get my tyres changed and puncture fixed in good time as stated.,Got told to leave the garage space and go to the Customer area.,,7
406,Auckland,AUCKLAND - ALBANY (Saturn Pce),it was quick,nothing,none at all,7
407,Hawke's Bay,WAIPUKURAU,Very pleasant to deal with,Didnt have what we wanted in stock. But went to Waipawa to get us one,,7
408,Bay of Plenty,TAURANGA - CBD,Efficient and friendly - stuck to time frame,NA,,7
409,Auckland,AUCKLAND - PUKEKOHE Manukau Rd,Prompt service,,,7
410,Wellington,WELLINGTON - PARAPARAUMU,Very good service,,,7
411,Southland,INVERCARGILL - ESK ST,I was awarded the 20 fly buys points by presenting my supermarket docket. The staff were friendly.  Fitting and balancing were included in the price of the tyre.,I went for a puncture repair - ended up needing a new tyre and I will have to purchase another 3 tyres within a month.,I purchased the origonal set of tyres from your company and would like you to offer FREE puncture repairs for the life of the tyre on products purchased from your stores.,7
412,Christchurch,CHRISTCHURCH - NORTHWOOD,good service and helpful staff,,it would have been good if they could have done the job on the spot instead of me having to pop back,7
413,Wellington,WELLINGTON - PORIRUA - PARUMOANA ST,Helpfulness and friendly ,Ordered tyres but didn't have them available on day- slightly disappointed ,,7
414,Christchurch,CHRISTCHURCH - Blenheim Road,good service,nothering,not a thing,7
415,Christchurch,CHRISTCHURCH - Blenheim Road,Clearly stated how long it would take and promised to call which they did,Only one person on reception who was busy answering calls so took a while for him to be free to deal with me ,Additional person on reception at start of day when would expect most people to call/ drop in,7
416,Waikato,MORRINSVILLE,Quick and freindly service ,No deals when using my Q card.,Deals when i use my Q Card ,7
417,Auckland,AUCKLAND - GREENLANE (Gt South Rd),The friendly service ,The waiting time even though I had booked. ,Where possible to keep to appointment times. ,7
418,Nelson & Marlborough,NELSON,The tyres were blackened,,,8
419,Auckland,AUCKLAND - NEW LYNN (Gt North Rd),Very courteous and professional,All good,Nil,8
420,Christchurch,CHRISTCHURCH - NORTHWOOD,Great service. Dropped off my car and went shopping. All done when I returned and tyres were painted so it looked good.,Nothing,,8
421,Northland ,KERIKERI,Very helpful young man who told me what he found and who was quick and effiecient in repiaring my puncture,,,8
